ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
30551,Male,5.626283,No,2,84,39,30,11,0,1,1.785714,1.142857,0.6428572,4.142857
30284,Female,3.813826,No,2,72,36,22,12,0,1,1.428571,1.428571,0,3.285714
30585,Male,2.765229,No,3,78,37,27,12,0,0,1.928571,1.785714,0.1428571,2.285714
30616,Female,3.559206,No,2,76,38,22,10,1,0,0.9285715,0.9285715,0,1.714286
30593,Male,5.500342,No,3,80,38,23,7,0,1,2.642857,1.285714,1.357143,4
30787,Female,2.491444,No,3,75,31,27,9,1,1,0.5,0.5,0,4.428572
30417,Male,3.953457,No,3,85,38,29,8,0,0,1.785714,1,0.7857143,1.857143
30801,Female,4.692676,No,2,82,37,30,11,0,0,2.142857,1.785714,0.3571429,2.714286
30170,Female,4.865161,No,1,80,36,27,9,0,0,3.5,3.142857,0.3571429,1.928571
30784,Female,2.507871,No,2,77,33,26,8,0,0,1.928571,1.928571,0,1.214286
30450,Male,5.46475,No,3,75,34,22,7,1,1,0,0,0,6.571428
30808,Female,4.199863,No,3,86,38,30,8,1,1,0.5,0.5,0,3.928571
30239,Male,4.246407,No,3,75,36,23,10,0,0,1.285714,0.6428572,0.6428572,2.285714
30835,Female,3.816564,No,3,82,39,27,10,1,1,0,0,0,3.571429
30774,Female,3.340178,No,3,81,37,29,11,0,0,2.071429,1.571429,0.5,2.214286
30399,Female,5.593429,No,2,84,38,30,10,1,1,0.7857143,0.2857143,0.5,8.142858
30717,Male,4.780287,No,3,76,35,23,10,0,0,2.285714,1.642857,0.6428572,2.214286
30809,Female,4.577686,No,3,70,33,21,10,0,0,2.428571,2.428571,0,2
30579,Male,4.290212,No,2,78,37,26,11,1,1,0.9285715,0.2857143,0.6428572,9
30516,Male,5.119781,No,3,86,39,29,8,0,1,6.928572,1.928571,5,5.714286
30807,Male,4.692676,No,2,72,33,25,12,0,1,1.714286,1.214286,0.5,3.714286
30149,Male,4.761123,No,3,70,34,21,11,0,0,2.142857,1.642857,0.5,1.357143
30216,Female,3.498973,No,2,81,38,27,10,0,1,6.571428,3.785714,2.785714,4.428572
30295,Male,4.99384,Yes,2,75,30,27,8,0,1,2,1.357143,0.6428572,3.642857
30521,Female,3.682409,No,3,77,35,25,9,0,1,8.214286,3.214286,5,4.714286
30712,Female,2.863792,No,2,77,35,25,9,0,0,1.785714,1.285714,0.5,1.785714
30273,Male,5.631759,No,3,74,36,26,14,0,1,1.785714,0.5,1.285714,3
30814,Female,4.731006,No,3,81,32,30,7,0,1,2.928571,1.642857,1.285714,5.428572
30939,Female,3.701574,No,3,74,36,22,10,0,1,2.142857,2,0.1428571,3.714286
